LOCALIDADE;USO 
Afghanistan;2,00E+31
Albania;1,13E+32
Algeria;9300000054495698.0
Andorra;1,02E+32
Argentina;1,50E+32
Armenia;1,96E+32
Australia;1,33E+32
Austria;2,26E+32
Azerbaijan;2,23E+32
Bahamas;1,07E+30
Bahrain;1,46E+31
Bangladesh;1,60E+32
Barbados;5414285659790067.0
Belarus;1,05E+32
Belgium;1,86E+32
Belize;5514285768781394.0
Benin;1,01E+31
Bolivia;1,60E+32
Bosnia and Herzegovina;1,40E+31
Botswana;1,55E+32
Brazil;1,65E+32
Brunei;1,40E+32
Bulgaria;1,80E+31
Burkina Faso;1,41E+32
Burundi;1,24E+32
Cambodia;1,78E+32
Cameroon;7057142802647187.0
Canada;1,63E+32
Cape Verde;1,45E+32
Chad;7785714149475099.0
Chile;3,00E+31
China;2,61E+32
Colombia;9599999972752154.0
Comoros;1,33E+32
Congo;9357142857142854.0
Costa Rica;5657143047877734.0
Cote d'Ivoire;1,25E+32
Croatia;2,64E+32
Cuba;8957143020629863.0
Cyprus;1,72E+32
Czechia;2,34E+32
Democratic Republic of Congo;9128571237836534.0
Denmark;1,31E+32
Dominican Republic;1,33E+32
East Asia and Pacific;2,40E+32
East Timor;1697142846243934.2
Ecuador;1,17E+32
Egypt;2,43E+31
El Salvador;9299999986376064.0
Eritrea;5342857088361485.0
Estonia;1,12E+32
Eswatini;8757142884390688.0
Ethiopia;4928571428571432.0
Europe and Central Asia;2,12E+31
European Union;1,38E+32
Fiji;2,22E+32
Finland;1,84E+31
France;2,07E+32
Gambia;1,17E+31
Georgia;1,92E+31
Germany;1,74E+32
Ghana;1,24E+32
Greece;1,94E+30
Guatemala;7171428544180721.0
Guinea-Bissau;5999999999999994.0
Guyana;1,80E+32
Haiti;9285714285714262.0
High income;1,60E+31
Hungary;2,14E+32
Iceland;1,28E+32
India;1,78E+32
Indonesia;1,30E+32
Iran;4128571510314968.5
Iraq;1,39E+31
Ireland;2,59E+32
Israel;2,49E+32
Italy;2,07E+32
Jamaica;1,06E+32
Japan;1,45E+31
Jordan;2,44E+32
Kazakhstan;1,59E+32
Kenya;1,07E+32
Kiribati;2,30E+32
Kuwait;1,30E+32
Kyrgyzstan;2,86E+31
Laos;5714285605294582.0
Latin America and Caribbean;9024739129202674.0
Latvia;1,34E+31
Lebanon;1,88E+32
Lesotho;2,66E+31
Liberia;9214285578046530.0
Lithuania;1,76E+31
Low and middle income;2,09E+32
Low income;1,23E+32
Lower middle income;1,36E+32
Luxembourg;2,02E+31
Madagascar;2,29E+32
Malawi;1,01E+32
Malaysia;1,36E+31
Maldives;2,47E+32
Mali;1,10E+32
Malta;1,28E+32
Marshall Islands;2,03E+31
Mauritania;1,43E+32
Mauritius;1,26E+32
Mexico;1,33E+32
Middle East and North Africa;1,24E+32
Middle income;1,60E+32
Moldova;1,96E+32
Mongolia;3,11E+30
Montenegro;2,44E+32
Morocco;1,20E+32
Mozambique;1,05E+32
Myanmar;3,64E+31
Namibia;1,14E+32
Nauru;1,20E+32
Nepal;1,06E+32
Netherlands;1,80E+32
New Zealand;1,66E+32
Niger;6942857061113627.0
Nigeria;1,56E+32
North America;1,52E+32
North Korea;1,72E+32
Norway;1,45E+32
Oman;6657142843518935.0
Pakistan;2,07E+32
Palau;2,06E+32
Panama;5514285700661799.0
Papua New Guinea;2,70E+30
Paraguay;1,02E+32
Peru;1,40E+30
Philippines;2,71E+30
Poland;2,10E+32
Portugal;2,54E+32
Qatar;5228571483067111.0
Romania;1,73E+32
Russia;2,48E+31
Rwanda;1,48E+31
Samoa;1,95E+31
Sao Tome and Principe;6442857129233218.0
Saudi Arabia;1,42E+32
Senegal;9357142789023240.0
Serbia;2,55E+31
Seychelles;1,98E+31
Sierra Leone;1,54E+32
Singapore;7085714340210038.0
Slovakia;9042857306344342.0
Slovenia;1,67E+32
Solomon Islands;1,27E+32
South Africa;1,18E+32
South Asia;1,79E+30
South Korea;1,69E+32
Spain;2,18E+32
Sri Lanka;1,32E+32
Sub-Saharan Africa;8588731573649790.0
Sweden;1,75E+32
Switzerland;2,29E+31
Tanzania;1,25E+32
Thailand;1,90E+32
Togo;9328571319580052.0
Tonga;1,85E+32
Tunisia;1,23E+32
Turkey;2,73E+32
Turkmenistan;5199999945504331.0
Tuvalu;1,25E+31
Uganda;1,36E+32
Ukraine;2,07E+32
United Kingdom;2,27E+32
United States;1,52E+31
Upper middle income;1,25E+32
Uruguay;8432857131958069.0
Uzbekistan;2,01E+31
Vanuatu;2,05E+31
Vietnam;1,18E+32
World;1,11E+32
Yemen;1,69E+32
Zambia;1,40E+31
Zimbabwe;1,19E+32
